onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
n/a	n/a	LargeLoss	122.997	2	124.98	3.0	127.98	0.31	128.363	1.64	You keep $5!	Correct Response!	1	285
n/a	n/a	SmallLoss	129.996	2	131.979	2.0	133.979	0.31	134.362	1.64	You lose $0.20!	You pressed too slow!	0	0
n/a	n/a	SmallGain	135.995	2	137.978	3.5	141.478	0.31	141.861	1.64	You earn $0.20!	Correct Response!	1	282
n/a	n/a	LargeGain	143.494	2	145.477	2.5	147.977	0.29	148.343	1.66	You earn $5!	Correct Response!	1	15
n/a	n/a	SmallGain	149.993	2	151.976	4.0	155.975	0.29	156.342	1.66	You earn $0.20!	Correct Response!	1	289
n/a	n/a	SmallLoss	157.992	2	159.975	4.0	163.974	0.29	164.341	1.66	You lose $0.20!	You pressed too slow!	0	0
n/a	n/a	LargeGain	165.991	2	167.974	2.0	169.973	0.27	170.323	1.68	You did not earn $5!	You pressed too slow!	0	0
n/a	n/a	LargeGain	171.99	2	173.973	3.0	176.972	0.27	177.322	1.68	You earn $5!	Correct Response!	1	266
n/a	n/a	NoMoneyStake	178.988	2	180.972	4.0	184.971	0.27	185.321	1.68	No money at stake!	You pressed too slow!	0	0
n/a	n/a	LargeLoss	186.987	2	188.97	1.5	190.47	0.27	190.82	1.68	You lose $5!	You pressed too slow!	0	0
n/a	n/a	SmallGain	192.486	2	194.469	1.5	195.969	0.29	196.336	1.66	You did not earn $0.20!	You pressed too slow!	0	0
n/a	n/a	LargeGain	197.986	2	199.969	1.5	201.468	0.29	201.835	1.66	You earn $5!	Correct Response!	1	265
n/a	n/a	LargeGain	203.485	2	205.468	4.0	209.467	0.29	209.834	1.66	You did not earn $5!	You pressed too soon!	0	0
n/a	n/a	SmallLoss	211.483	2	213.466	3.5	216.966	0.33	217.366	1.62	You keep $0.20!	Correct Response!	1	286
n/a	n/a	NoMoneyStake	218.982	2	220.965	1.5	222.465	0.33	222.865	1.62	No money at stake!	Correct Response!	1	291
n/a	n/a	NoMoneyStake	224.481	2	226.464	2.0	228.464	0.33	228.864	1.62	No money at stake!	Correct Response!	1	316
n/a	n/a	SmallLoss	230.48	2	232.463	2.0	234.463	0.33	234.863	1.62	You keep $0.20!	Correct Response!	1	300
n/a	n/a	LargeLoss	236.48	2	238.463	1.5	239.962	0.33	240.362	1.62	You keep $5!	Correct Response!	1	289
n/a	n/a	LargeLoss	241.979	2	243.962	3.5	247.461	0.31	247.844	1.64	You keep $5!	Correct Response!	1	286
n/a	n/a	SmallLoss	249.477	2	251.461	3.0	254.46	0.31	254.843	1.64	You keep $0.20!	Correct Response!	1	270
n/a	n/a	LargeGain	256.476	2	258.459	2.0	260.459	0.31	260.842	1.64	You did not earn $5!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	262.475	2	264.459	1.5	265.958	0.28	266.308	1.67	You lose $0.20!	You pressed too slow!	0	0
n/a	n/a	SmallGain	267.975	2	269.958	1.5	271.457	0.28	271.807	1.67	You earn $0.20!	Correct Response!	1	264
n/a	n/a	SmallGain	273.474	2	275.457	1.5	276.957	0.28	277.306	1.67	You earn $0.20!	Correct Response!	1	268
n/a	n/a	LargeGain	278.973	2	280.956	1.5	282.456	0.26	282.789	1.69	You did not earn $5!	You pressed too slow!	0	0
n/a	n/a	NoMoneyStake	284.472	2	286.455	1.5	287.955	0.26	288.288	1.69	No money at stake!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	289.971	2	291.954	1.5	293.454	0.26	293.787	1.69	You keep $0.20!	Correct Response!	1	250
n/a	n/a	SmallLoss	295.47	2	297.453	2.5	299.953	0.26	300.286	1.69	You lose $0.20!	You pressed too slow!	0	0
n/a	n/a	NoMoneyStake	301.969	2	303.952	3.0	306.952	0.28	307.302	1.67	No money at stake!	Correct Response!	1	272
n/a	n/a	SmallGain	308.968	2	310.951	2.0	312.951	0.28	313.301	1.67	You earn $0.20!	Correct Response!	1	272
